procedure_name,speciality_name,speciality_id,work_scale_name,work_scale_id
TELECONSULTA EM ALERGIA E IMUNOLOGIA GERAL,Alergologia,31,Alergologia,-O_AOmgx5BHsvhtMdOLU
TELECONSULTA EM CARDIOLOGIA GERAL,Cardiologia,3,Cardiologia,-OK2-FBJ7ESOlQD88Jxh
TELECONSULTA EM CARDIOLOGIA GERAL - RETORNO,Cardiologia,3,Cardiologia,-OK2-FBJ7ESOlQD88Jxh
TELECONSULTA EM CARDIOLOGIA PEDIATRICA,Cardiologia,3,Cardiologia,-OK2-FBJ7ESOlQD88Jxh
TELECONSULTA EM CARDIOLOGIA PEDIATRICA - RETORNO,Cardiologia,3,Cardiologia,-OK2-FBJ7ESOlQD88Jxh
TELECONSULTA EM CARDIOLOGIA - RISCO CIRURGICO,Cardiologia,3,Cardiologia,-OK2-FBJ7ESOlQD88Jxh
TELECONSULTA EM DERMATOLOGIA GERAL,Dermatologia,5,Dermatologia,-OK2-HkONyXIdb-tUZOO
TELECONSULTA EM DERMATOLOGIA GERAL - RETORNO,Dermatologia,5,Dermatologia,-OK2-HkONyXIdb-tUZOO
TELECONSULTA EM DERMATOLOGIA PEDIATRICA,Dermatologia,5,Dermatologia,-OK2-HkONyXIdb-tUZOO
TELECONSULTA EM DERMATOLOGIA PEDIATRICA - RETORNO,Dermatologia,5,Dermatologia,-OK2-HkONyXIdb-tUZOO
TELECONSULTA EM ENDOCRINOLOGIA E METABOLOGIA GERAL,Endocrinologia,10,Endocrinologia,-OK2-NKnB8Fc6YEVdfd5
TELECONSULTA EM ENDOCRINOLOGIA E METABOLOGIA GERAL - RETORNO,Endocrinologia,10,Endocrinologia,-OK2-NKnB8Fc6YEVdfd6
TELECONSULTA EM ENDOCRINOLOGIA E METABOLOGIA PEDIATRICA,Endocrinologia,10,Endocrinologia,-OK2-NKnB8Fc6YEVdfd7
TELECONSULTA EM ENDOCRINOLOGIA E METABOLOGIA PEDIATRICA - RETORNO,Endocrinologia,10,Endocrinologia,-OK2-NKnB8Fc6YEVdfd8
TELECONSULTA EM GASTROENTEROLOGIA GERAL,Gastroenterologia,11,Gastroenterologia,-O_AObo79iXdtQ0BPWSX
TELECONSULTA EM GERIATRIA,Geriatria,29,Geriatria,-O_AOgr48SRnGC3xws29
TELECONSULTA EM GINECOLOGIA - GERAL,Ginecologia,12,Ginecologia,-OK2-AohU8DV7inuPLMl
TELECONSULTA EM GINECOLOGIA OBSTETRICIA,Obstetrícia,13,Obstetrícia,-OLkLfXb8HaOcxbo0lmY
TELECONSULTA EM GINECOLOGIA OBSTETRICIA - RETORNO,Obstetrícia,13,Obstetrícia,-OLkLfXb8HaOcxbo0lmY
TELECONSULTA EM GINECOLOGIA - RETORNO,Ginecologia,12,Ginecologia,-OK2-AohU8DV7inuPLMl
TELECONSULTA EM NEUROLOGIA GERAL,Neurologia,16,Neurologia,-OK2-RM2L3QFk38f37SD
TELECONSULTA EM NEUROLOGIA GERAL - RETORNO,Neurologia,16,Neurologia,-OK2-RM2L3QFk38f37SD
TELECONSULTA EM NEUROLOGIA PEDIATRICA,Neurologia Infantil,27,Neurologia Infantil,-OK2-mx_1IdQUkOz_hxz
TELECONSULTA EM NEUROLOGIA PEDIATRICA - RETORNO,Neurologia Infantil,27,Neurologia Infantil,-OK2-mx_1IdQUkOz_hxz
TELECONSULTA EM NUTRICAO GERAL,Nutricionista,17,Nutricionista,-OK2-Z9tHG3V5qFo-m2N
TELECONSULTA EM NUTRICAO GERAL – RETORNO,Nutricionista,17,Nutricionista,-OK2-Z9tHG3V5qFo-m2N
